ticker,PE,ROE,PB
AAPL,34.35488,1.5202099,45.19173
MSFT,26.58735,0.34390998,8.0699415
GOOGL,31.859388,0.35705003,10.025325
AMZN,36.76741,0.22286,6.8916097
META,28.73776,0.30238,7.8615766
NVDA,42.58896,1.01485,32.178616
TSLA,345.22934,0.04901,17.185003
JPM,14.750239,0.16465001,2.4013085
BAC,12.947762,0.10644,1.3462135
GS,16.920591,0.14591,2.5764246
UNH,26.806648,0.121759996,3.416832
JNJ,26.39211,0.26416,6.7178497
PFE,19.852942,0.08886,1.7752647
XOM,22.225374,0.110810004,2.3991044
CVX,27.935144,0.07231,1.9670757
PG,21.920116,0.31116,6.587827
KO,25.207235,0.43323,10.247392
PEP,24.401884,0.43879002,9.944342
HD,23.587782,1.45541,26.110853
MCD,25.072027,,-118.840805
NKE,29.401316,0.16016,4.6958075
DIS,15.110456,0.12024,1.6797918
NFLX,29.791937,0.48494998,14.650223
INTC,,-0.02911,3.6081977
AMD,133.2567,0.07082,8.998706
CSCO,32.017986,0.23754999,7.3653293
V,29.080828,0.53954,15.444744
MA,30.481861,2.09915,58.25861
WMT,47.58974,0.21847,10.392768
COST,52.63665,0.29650998,27.124578
